Countries,Description,Employees,Logo Filepath,Name,Pricing Options,Rating,Reviews,URL,Users
US,"Canopy is a cloud-based practice management solution for accounting professionals. Streamline your firm and create a connected client experience using our suite of features including workflow, document management, time and billing, payments, a robust CRM with a secure client portal, and tools to help automate post-filing issues.",127,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/cd76892f-c11a-4f2d-948a-fd800d702efd.png,Canopy,26,4.5,93,https://www.getcanopy.com/demo-canopy-accounting-solution/?utm_source=capterra&utm_medium=paid&utm_campaign_name=,127
"CA,NZ,AU,UK,US,IE","Jetpack works to help firms of all sizes standardize, track and automate their processes so that each team member has a greater ability to complete more work in less time. Every workflow is unique, which is why our software comes fully customized to the needs of your company - down to the letter. Jetpack Workflow helps you become more efficient with tracking, notification management and automation. Build trust through transparency and scale your firm by focusing on the work that matters.",31,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/2f0cf1c5-4956-493e-9748-53be9758a515.png,Jetpack Workflow,18,4.8,44,http://www.jetpackworkflow.com/,15
"AU,UK,NO,US,NZ,CA","BQE Core helps accounting firms streamline their day-to-day operations and boost utilization rates with workflow management, simplified time tracking, automated billing, scheduled reports, and business intelligence dashboards. This all-in-one platform provides full visibility of jobs and staff, so you can easily manage engagements while delivering more value to your clients. With greater control over your firm and access to critical insights, never miss a deadline again.",127,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/f664e676-d400-4476-aee5-4c676e31ca93.png,BQE Core Suite,26,4.4,468,https://www.bqe.com/core-accounting-software-for-architects-engineers-accountants-attorneys?utm_source=capterra&utm_medium=directory-apm,63
"US,VI,VG,TC,TT,VC,PM,MF,LC,KN,PR,PA,NI,AN,MS,MX,MQ,JM,HN,HT,GT,GP,GD,SV,DO,DM,CU,CR,KY,CA,BM,BZ,BB,BS,AW,AG,AI","Drastically increase your firm's productivity and save your staff an average of 10 hours a week in wasted non-billable time in 30 days.  This will free up your time to focus on growing your practice and delivering awesome service to your clients.

Save your firm time and money by replacing 5+ legacy software solutions with one seamless experience. 

One platform.  Everything you need to get the job done!",7,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/76b8e51f-0339-495d-96ee-91c56ee7d4ba.png,Firm360,2,5,8,https://www.myfirm360.com?utm_source=capterra,15
"US,CA","Accounting firms need more than just a timesheet. They need a system that unifies budgeting, project planning/execution, team communication, task management, resource management, invoicing and project financials. BigTime gives you the tools your team needs to deliver billable work on time and on budget, giving our customers an average improvement of 25% in gross margins and a substantial increase in expansion and referral revenue. ""We didn't have to compromise or change the way we operated.""",126,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/d5523c4b-c183-40b2-bf6d-581294f47447.png,BigTime,18,4.6,534,https://get.bigtime.net/bigtime-branded/?utm_campaign=Capterra_ACCT&utm_medium=Free_Demo&utm_content=TE,126
"CA,US,IN","""CA Office Automation is an ERP SOFTWARE for CPA & Accounting firms. We have created an all-touch point-encompassing platform that fulfills several platform requirements for your firm. More than 8,000 accounting professionals have trusted the CAOA platform. Even we offer Customization, White Label & Local installation services across the globe. ",31,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/a31d0cdf-8069-4fe5-a52f-3981b04d06e4.jpeg,CA Office Automation,26,5,1,https://info.gartnerdigitalmarkets.com/caofficeautomation-gdm-lp/?category=accounting-practice-management,14
"CA,US,UK,IE","SoftCo ExpressAP is a powerful, cloud-based solution that uses AI and Robotics to automate the processing of invoices including capture, registration, coding, approval, query, reporting and ERP payment. SoftCo ExpressAP reduces the cost of processing vendor invoices by 80%. Processing is 100% touchless and supports remote working and on-the-go email approval. With SoftCo ExpressAP you are LIVE in hours with unlimited users. There are no capital costs, no upfront costs, just a simple monthly fee.",127,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/fc31c76d-ed8d-4f6b-95ad-95ec7347be02.jpeg,SoftCo ExpressAP,0,0,0,https://www.softco.com/softco-express/,0
"US,CA","Everything your firm needs to scale in one easy to use solution. Manage your staff, track client deadlines, automate client-data collection, track time, invoice your clients, and store all your client information in one place!",31,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/e658bc8a-ea33-4a27-ab6c-7a59d078f383.png,Financial Cents,18,4.7,48,https://financial-cents.com/,15
US,"Melio is a simple online bill-pay management service tailored for accountants, bookkeepers, and their small business clients. Manage all clients' payments from a single dashboard with one login for all client accounts. Pay any business bill for free. Use bank transfer or card even if vendors only accept checks. Set up a payment approval workflow, add users, and manage their roles and permissions with just a few clicks. Save time and eliminate dual data entry with our 2-way sync with QuickBooks.",31,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/88ede00f-aaa2-46e9-9e7e-51466548f18c.png,Melio,8,4.1,42,https://www.meliopayments.com/accountants?utm_source=dir&utm_medium=cpc&utm_campaign=capterra&utm_term=accounting-practice-management,1
US,"PracticePro 365 is a unique software platform that was designed to keep your business at the peak of its performance. Experience a powerful platform dedicated to boosting enterprise business efficiency and providing an array of unified features that provides your team with the essential tools to succeed.

PracticePro 365 is here for you now and in the future with the power of cloud scalability.",0,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/8c5017a9-97d8-4cb5-8fe3-60fa352687a9.png,PracticePro 365,0,0,0,http://www.practicepro365.com,0
US,"IRS Solutions Software is the easiest to use Tax Resolution System to help you make more money and look like a Pro in front of both the IRS and your client!  Designed to give the CPA, EA and Tax Pro's all the step by step tools to easily manage client cases. Besides making it easy to populate the IRS forms, we provide customizable letter templates, an OIC calculator, and IRS notice adviser tool we also provide done for you marketing that you can put into play as soon as you get started. ",31,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/cd0eb2ef-a569-469b-9cee-c8e428a00d84.png,IRS Solutions Software,2,4.8,26,https://www.irssolutions.com/tax-resolution-software-and-marketing-support-cap/,31
US,"Save time & grow your accounting practice with Acuity's self-service scheduling software. From the moment clients book with you, Acuity's there 24/7 to automatically send branded & customized booking confirmations, deliver text reminders, let clients reschedule based on your availability, and process payments. With Acuity, your day runs more smoothly, even during tax season! Customize individual calendars for your staff and locations, and set up appointment types that keep clients coming back.",31,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/eab1bfbc-4414-4221-bc6b-5cbf2b4b0c69.png,Acuity Scheduling,26,4.8,4706,https://acuityscheduling.com/?utm_source=capterra&utm_medium=cpc&utm_campaign=cap-accounting&kw=Capterra,63
US,"Divvy's 100% free expense platform is ideal for any accounting practice and their clientele. Divvy makes expense reports, receipt capturing and employee reimbursements an unnecessary thing of the past. Simply pick a budget, swipe your Divvy card and you're done. Everything finance needs is pushed to the cloud. Spend smarter, close books faster & travel better, without the hassles of saving receipts and reconciling. Divvy is free to use, plus earns 1x-7x rewards. See a demo, get up to $100.* ",127,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/e6f9587c-e148-4fb6-9b54-f686c25aacd0.png,Divvy ,28,4.7,164,https://getdivvy.com/capterra/?utm_medium=review&utm_campaign=Accounting%20Practice%20Management,127
US,"AMTdirect is the most trusted name in lease accounting and administration, ensuring full compliance with the new lease accounting standards. AMTdirect's cloud-based solution automates the reports and disclosures required for ASC 842 compliance and provides you with a central repository for all of your lease documents. See why over 650 of the world's top brands have partnered with AMTdirect! ",126,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/34b17311-1cc6-4b52-aee8-15b4eb9ed2db.png,AMTdirect,2,3.6,18,https://www.amtdirect.com/capterra-lease-accounting-schedule-demo,127
US,"Biller Genie is your virtual AR department that seamlessly connects to your accounting software and automatically sends invoices, reminders and past due notifications via email & paper mail.  Your customers can pay invoices online via credit card, ACH or Apple Pay and payments are automatically closed in your accounting software eliminating all the busy work from your billing process.  Your branded customer portal gives your customers a convenient place to manage their information online 24/7",127,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/8b3d2ec5-5ee3-413d-89a1-a0e20ebda725.png,Biller Genie,2,4.9,23,http://ww2.billergenie.com/acccountingpm_c,15
"AT,US,CH,DE","PDF-Mapper is a software for capturing document data from a PDF document (data extraction). It converts the document data into a machine-readable semantic data structure (XML and others). Fully automatic document processing. Reading out all document fields with 100% accuracy. Automatic validation. No more media breaks in your ordering, delivery and billing process. All data directly into your ERP-system. Installed locally and securely at your location. Best solution in the market. Cost saving.
",126,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/3db1df57-667e-4fe9-9eff-8d84dad2a743.png,PDF-Mapper,28,5,1,https://www.pdfmapper.com/index.php/en/start/,127
"AD,LA,TL,SJ,GG,PS,MF,RS,WF,PM,YT,SH,NF,ME,AX,IM,JE,ZW,ZM,ZA,YE,WS,VU,VN,VI,VG,VE,VC,VA,UZ,UY,US,UG,UA,TZ,TW,TV,TT,TR,TO,TN,TM,TJ,TH,TG,TD,TC,SZ,SY,SV,ST,SR,SO,SN,SM,SL,SK,SI,SG,SE,SD,SC,SB,SA,RW,RU,RO,RE,QA,PY,PW,PT,PR,PL,PK,PH,PG,PE,PA,OM,NZ,NR,NP,NO,NL,NI,NG,NE,NC,NA,MZ,MY,MX,MW,MV,MU,MT,MS,MR,MQ,MP,MO,MN,MM,ML,MK,MH,MG,MD,MC,MA,LY,LV,LU,LT,LS,LR,LK,LI,LC,LB,KZ,KY,KW,KR,KN,KM,KI,KH,KG,KE,JP,JO,JM,IT,IS,IR,IQ,IN,IL,IE,ID,HU,HT,HR,HN,HK,GY,GW,GU,GT,GR,GQ,GP,GN,GM,GL,GI,GH,GE,GD,GA,FO,FM,FK,FJ,FI,ET,ES,ER,EG,EE,EC,DZ,DO,DM,DK,DJ,DE,CZ,CY,CV,CU,CR,CO,CN,CM,CL,CK,CH,CG,CF,CD,CA,BZ,BY,BW,BT,BS,BR,BO,BN,BM,BJ,BI,BH,BG,BF,BE,BD,BB,BA,AZ,AW,AU,AT,AS,AR,AO,AN,AM,AL,AI,AG,AF,AE",,127,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/a063bad2-572a-4482-b4cc-dde89cb65b03.png,QuickBooks Desktop Enterprise,18,4.5,18159,http://quickbooks.intuit.com,127
AU,,63,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/35e9db05-94a1-4859-b307-858b9d3946cb.png,Xero,18,4.3,1954,https://www.xero.com/au/partner-programs/partners/?utm_medium=paid-aggregator&utm_term=capterra-accounting-practice&utm_campaign=au-xero-accounting-practice,127
US,,127,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/1eb9b669-8c3b-4e66-b69a-bea9bd0eda91.png,TaxDome ,18,4.7,1237,https://www.taxdome.com,15
US,,127,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/1881ddd8-c5ec-4291-9c46-58e8316467fc.png,OfficeTools,18,4.1,177,https://www.officetools.com/lp/take-control/?utm_source=capterra&utm_medium=cpc&utm_campaign=accounting_practice_management&utm_content=destination,127
"AU,US,UK,NZ,CA",,126,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/7da110d0-9845-4cc7-9512-aa0aedb9c134.png,Karbon,18,4.8,143,https://karbonhq.com/accounting-practice-management?utm_source=Capterra&utm_medium=PPC&utm_campaign=Accounting%20Practice%20Management,62
"UK,US,NZ,CA,AU",,62,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/cb191a26-bd8f-4a78-8a85-948ab08de3a0.png,Practice Ignition,18,4.7,85,https://landing.practiceignition.com/proposal-management-software?utm_source=capterra&utm_medium=directory&utm_campaign=capterra-listing,31
ALL,,127,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/c374cdb7-808d-4338-870f-f951d22de041.png,AccountancyManager,18,4.8,45,https://www.accountancymanager.co.uk/,127
ALL,,127,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/59c61463-3fa7-4384-9912-1f646a830b32.png,Datamolino,26,4.9,36,https://www.datamolino.com/,7
ALL,,120,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/5c5b51af-160a-4888-932b-82f7d4df0239.png,FloQast,2,4.8,35,https://floqast.com/,127
"US,CA","Manage your entire farm operation with one system in real-time all year-round. No more reconciling spreadsheets and multiple data sources or missed opportunities to save. Organize critical data and records from field and office in one place and see simple, straightforward analysis for better decision making. Take control of field variability, and make every input count with expert advice, custom scripts. See what works in your fields and which acres are holding you back in minutes, not hours.
",126,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/e264d94a-a54a-48f4-acc9-497846847a35.png,Granular,16,4.7,86,https://granular.ag/lp/farm-management/?utm_medium=paid&utm_campaign=capterra&utm_content=global,0
"AU,CA,US,NZ","The Agworld platform is a farm data collection, sharing and management platform. Agworld users can collect data at all levels of their operation and share this data with anyone that matters to them. This means that growers, farmhands, agronomists, input providers, contractors and others are able to all work together on the same set of data. 

Agworld is an independent and privately owned company that is aligned with growers and their stakeholders.",127,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/ae98002c-0d65-4cd1-87d0-a7108c589dc5.png,Agworld,28,4.5,37,http://www.agworld.com/us/?utm_source=capterra.com&utm_medium=cpc,127
"US,AU","Conservis farm management software system helps smart farmers become even smarter. As the hub of all your farms data, Conservis provides traceability through real-time recordkeeping, planning, budgeting, inventory, ownerships splits, harvest tracking and cost of production. You can even connect your operations field data to your finances to better manage risk, control costs and improve profitability. Conservis offers both row crop and permanent crop platforms to manage with confidence. ",127,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/7441b0dc-ec05-4c0d-afe0-a0a6b03f6999.png,Conservis,16,4.7,25,https://conservis.ag/farm-management-software/?utm_source=Referral&utm_medium=PPC&utm_campaign=Capterra%20(SL)&utm_content=UTM,31
US,"Traction is an independent farm management software company that is employee and farmer owned. Traction develops innovative cloud-based technology to streamline farm data workflows, helping farmers make smarter business decisions throughout the growing season. It can automate accounting transactions, monitor farm profitability, create farm-specific financial reports and more. All information is accessible from any connected device, including your phone and tablet.",0,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/c6a3cc6b-d8c0-4859-a0c6-cac9602f6ea5.png,Traction,20,4.7,15,https://info.tractionag.com/trial?utm_source=Capterra&utm_medium=ppc&utm_campaign=traction&utm_term=farmmanagement,0
US,"Farm Biz is designed to simplify tax reporting & bookkeeping activities so more time can be devoted to marketing & management. Farm Biz is expressly for farmers & ranchers that desire a ready-made profitability reporting tool.

Farm Biz  does not connect to the internet or access the cloud, providing you a higher level of security.  All versions of Windows are supported.  Dynamic screen resolution keeps the menus & data entry input large to facilitate a touch screen environment.",3,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/c5f00324-998a-4078-8019-0c098e1aee51.png,Farm Biz,25,4,3,http://unbouncepages.com/farm-biz-gdm/?directory=farmmanagement,3
"BZ,US,PR,MX,JM,CA","An all-in-one tracking software solution for hemp harvest compliance.

Track your harvest and tag your biomass with a unique barcode identifier. All documentation is stored in the cloud to meet compliance rules.  From field location including GPS coordinates, Satellite Images, and license information, to test results, COA's, harvest date, all information can be tracked and managed. 

KLER provides shipping manifests with bill of lading. Hemp is organized and compliant when ready for sale.",0,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/6c85eba1-75fa-45b3-8bca-30da650c0f27.png,KLER,0,0,0,https://cbd.kler.io/growing-hemp-compliance-new-capterra/,0
"CA,US","Comprehensive farm and ranch solution used to track crop details, livestock, accounting/financials, and much more. Manage your entire farm and/or ranch operation all in one instance.  AgCinect is entirely cloud based, so it is accessible from any device and can be utilized by multiple users. AgCinect allows the user to collect data from all areas of their farm, and provides them with financials, analytics, and reports whenever needed. ",127,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/088f724a-a95b-481f-b6e4-04679432c316.png,AgCinect,2,5,1,https://agcinect.com/products/?utm_source=Capterra,7
US,"CenterPoint Accounting for Agriculture is financial management software made specifically for farms. Track information by farms, fields, landlords, and more. Set up and use production analysis. Create ""what if"" scenarios to help make important decisions. Track book, market, and tax asset values. CenterPoint provides tools farmers need to track information and make important business decisions.",127,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/a5b580f5-db5f-4a5e-90d7-f1427bc2bcf9.png,CenterPoint Accounting for Agriculture,25,4,11,https://www.redwingsoftware.com/home/products/farm-accounting-software,7
"CA,US","Process2Wine is cloud-based & mobile software exclusively designed for wine production. Plan, track and manage all the work on your estate from vine to bottle and get comprehensive reports on your winemaking operations (including TTB compliance report). 

Modules available on Process2Wine are: Vineyard management, GPS tracking, Harvest tracking, Cellar management, Products inventory, Human Ressources management, Reporting...",31,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/c1e3c3d2-f862-42a9-a48c-545dc82b551e.png,Process2Wine,18,0,0,https://www.process2wine.com/en,31
"US,CA","RedBud software is a Production software for controlled environment agriculture developed from scratch at The Ohio State University; Built by growers for growers to improve operational efficiency.
RedBud SoftWare provides growers, IPM team members, maintenance crews and business managers full visibility into operations, documenting right down to the smallest detail. RedBud has emerged on the market with a fresh perspective on CEA operations. Metrc compliant.",0,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/5633955c-ba57-4bb0-8b2d-80405d6c8155.png,RedBud Software,18,0,0,https://redbudsaas.com/?utm_source=capterra&utm_medium=ppc&utm_campaign=redbud,0
"CA,US","Communication gap between farmers, food retailers and all food chain stakeholders causes losses to everyone but in particular to farmers. This revolutionary software (SaaS) provides real time data in a mobile, tablet or computer avoiding waste of time researching and avoiding unreliable data. All data is derived from official sources. A 5AM daily, Monday-Saturday report, gives a glimpse of the market and competing regions in USA and across the globe. Users can plan their shipments and sales. ",30,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/293a444f-f454-4c84-8b92-bb9b739d79d4.png,AGTools Suite,18,0,0,https://www.ag.tools,16
"BE,ZA,VI,VG,US,TC,TT,VC,PM,MF,LC,KN,PR,PA,NI,AN,MS,MQ,JM,HN,HT,GT,GP,GD,SV,DO,DM,CU,CR,KY,BM,BZ,BB,BS,AW,AG,AI,CA,FI,IS,IE,SE,PL,LU,HU,AT,PT,UK,DE,IT,ES,NO,TR,DK,CZ,CH,NL",,127,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/081deb3b-df73-448b-ab8b-e440b9e748c8.png,Kizeo Forms,18,4.5,43,https://www.kizeo-forms.com/en/custom-app-for-the-agriculture-industry/?utm_source=capterra_farm_management&utm_medium=cpc&utm_campaign=page_en_agriculture_apps,127
ALL,,0,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/e5fa89e6-dc27-4da2-a463-8a1d39ee3cbc.png,Measure Ground Control,24,4.1,39,http://measure.com,0
ALL,,124,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/792e5eab-01ba-453e-b8b2-74b2080753b2.png,Cropio,20,4.5,37,http://about.cropio.com/,124
"CA,US",,2,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/33d9467f-3b9b-4973-b8ee-f49851c9f929.png,Harvest Profit,20,4.8,33,https://www.harvestprofit.com/?utm_source=capterra&utm_medium=capterra&utm_campaign=capterrahome,16
US,,31,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/bce856d4-8b62-4c3e-9722-9c304077676d.png,Farmbrite,26,4.7,30,http://www.farmbrite.com/,63
"AD,LK,LA,TL,SJ,GG,PS,MF,RS,WF,PM,YT,SH,NF,ME,AX,IM,GF,JE,ZW,ZM,ZA,YE,WS,VU,VN,VI,VG,VE,VC,VA,UZ,UY,US,UK,UG,UA,TZ,TW,TV,TT,TR,TO,TN,TM,TJ,TH,TG,TD,TC,SZ,SY,SV,ST,SR,SO,SN,SM,SL,SK,SI,SG,SE,SD,SC,SB,SA,RW,RU,RO,RE,QA,PY,PW,PT,PR,PL,PK,PH,PG,PF,PE,PA,OM,NZ,NR,NP,NO,NL,NI,NG,NE,NC,NA,MZ,MY,MX,MW,MV,MU,MT,MS,MR,MQ,MP,MO,MN,MM,ML,MK,MH,MG,MD,MC,MA,LY,LV,LU,LT,LS,LR,LI,LC,LB,KZ,KY,KW,KR,KN,KM,KI,KH,KG,KE,JP,JO,JM,IT,IS,IR,IQ,IL,IE,ID,HU,HT,HR,HN,HK,GY,GW,GU,GT,GR,GQ,GP,GN,GM,GL,GI,GH,GE,GD,GA,FR,FO,FM,FK,FJ,FI,ET,ES,ER,EG,EE,EC,DZ,DO,DM,DK,DJ,DE,CZ,CY,CV,CU,CR,CO,CN,CM,CL,CK,CH,CG,CF,CD,CA,BZ,BY,BW,BT,BS,BR,BO,BN,BM,BJ,BI,BH,BG,BF,BE,AS,AR,AO,AN,BD,BB,BA,AZ,AW,AU,AT,AM,AL,AI,AG,AF,AE",,7,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/382ea0ba-6ce8-4594-b65d-6fbda0d756ec.png,EasyKeeper,18,5,27,http://www.easykeeper.com?utm_medium=website&utm_source=capterra&utm_campaign=freetrial_signup,7
ALL,,127,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/cd5be23f-4166-4899-a2f2-ce9fa700893e.png,CropTracker,2,4.5,25,https://www.croptracker.com/,127
"AX,US,CA,WF,VI,VG,VN,VE,VU,UZ,UY,AE,TV,TC,TM,TT,TO,TL,TH,TJ,TW,SY,SR,LK,SB,SG,SA,WS,VC,PM,MF,LC,KN,QA,PR,PH,PE,PY,PG,PA,PS,PW,PK,OM,MP,NF,NI,NZ,NC,AN,NP,NR,MM,MS,MN,FM,MX,MQ,MH,MV,MY,MO,LB,KW,KR,KI,KZ,JO,JP,JM,IL,ID,IN,HK,HN,HT,GY,GT,GU,GP,GD,GE,PF,GF,FJ,FK,SV,EC,DO,DM,CU,CR,CK,CO,CN,CL,KY,KH,BN,BR,BO,BT,BM,BZ,BB,BD,BH,BS,AZ,AU,AW,AR,AG,AI,AS,UK,UA,TR,CH,SE,FO,SJ,ES,SI,SK,RS,SM,EE,RU,RO,DK,PT,PL,NO,NL,ME,MC,CZ,CY,MD,HR,MT,BG,MK,BA,LU,LT,LI,LV,JE,BE,BY,IT,IM,IE,IS,HU,VA,GG,GL,GR,AT,GI,DE,FR,AD,FI,AL",,126,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/d5ea8e25-8249-4303-8970-e0e920845f5d.png,OERCA,2,4.5,19,https://www.oerca.com/?utm_source=Capterra,126
ALL,,7,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/180cce84-6a31-4c83-a6ef-d8a9ed39a855.png,fieldmargin,26,4.8,12,https://fieldmargin.com/,7
ALL,,4,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/cad278fa-2864-4528-8d21-25b2cd4fff62.png,Herdwatch,28,4.5,11,https://www.herdwatch.com,64
ALL,,2,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/4419d450-eba5-42c9-bbb9-b4d43ec7edc1.png,EasyFarm,1,4.6,9,http://www.easyfarm.com,64
ALL,,15,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/8f70e421-56e4-4172-99fe-dd58b437b249.png,AgriXP,28,4.3,9,https://www.agrixp.com/,31
ALL,,63,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/72aca8bf-8322-4250-852d-d7e2deb9c0d0.png,Agrivi,26,4.9,8,https://www.agrivi.com,63
US,,31,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/35c37355-1162-43b8-80be-cf5c63fc110b.png,FarmLogs,26,4.8,8,https://hubs.ly/H0d_c0d0,127
